population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,125,Colombia,2,Female,17,60-64 years,294,All causes,1,Number,2019,6922.56563405438,7156.894001250481,6683.622456177171
1,All Population,1,Deaths,125,Colombia,1,Male,17,60-64 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,2,Female,17,60-64 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,1,Male,17,60-64 years,294,All causes,3,Rate,2019,1028.7304269758358,1059.7922936596885,996.6897921744148
1,All Population,1,Deaths,125,Colombia,2,Female,17,60-64 years,294,All causes,3,Rate,2019,629.4877423299754,650.7958588040913,607.7599885551108
1,All Population,1,Deaths,125,Colombia,1,Male,18,65-69 years,294,All causes,1,Number,2019,11337.259981587225,11660.963715521028,11001.698146699091
1,All Population,1,Deaths,125,Colombia,2,Female,18,65-69 years,294,All causes,1,Number,2019,8319.288263960869,8601.885034590527,8069.577985793631
1,All Population,1,Deaths,125,Colombia,1,Male,18,65-69 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,2,Female,18,65-69 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,1,Male,18,65-69 years,294,All causes,3,Rate,2019,1578.8401939777839,1623.9195576781322,1532.1094571554154
1,All Population,1,Deaths,125,Colombia,2,Female,18,65-69 years,294,All causes,3,Rate,2019,986.6768991151735,1020.193192396261,957.060980646934
1,All Population,1,Deaths,125,Colombia,1,Male,19,70-74 years,294,All causes,1,Number,2019,12488.236999910552,12850.966733456027,12129.726723391774
1,All Population,1,Deaths,125,Colombia,2,Female,19,70-74 years,294,All causes,1,Number,2019,9590.271958566835,9883.363839167612,9312.463200302212
1,All Population,1,Deaths,125,Colombia,1,Male,19,70-74 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,2,Female,19,70-74 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,1,Male,19,70-74 years,294,All causes,3,Rate,2019,2426.9204563137414,2497.4120885962698,2357.2488186047244
1,All Population,1,Deaths,125,Colombia,2,Female,19,70-74 years,294,All causes,3,Rate,2019,1557.9519859843185,1605.565138085803,1512.8215967177669
1,All Population,1,Deaths,125,Colombia,1,Male,20,75-79 years,294,All causes,1,Number,2019,14226.976018598643,14636.14122299787,13868.932843117993
1,All Population,1,Deaths,125,Colombia,2,Female,20,75-79 years,294,All causes,1,Number,2019,11796.089459142982,12129.374089007424,11460.968738239771
1,All Population,1,Deaths,125,Colombia,1,Male,20,75-79 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,2,Female,20,75-79 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,1,Male,20,75-79 years,294,All causes,3,Rate,2019,3927.010782648286,4039.950887942608,3828.1816703388263
1,All Population,1,Deaths,125,Colombia,2,Female,20,75-79 years,294,All causes,3,Rate,2019,2608.9476641477745,2682.6604110367225,2534.8288279829403
1,All Population,1,Deaths,125,Colombia,1,Male,30,80-84 years,294,All causes,1,Number,2019,14907.880488781544,15293.016015942314,14513.101113787163
1,All Population,1,Deaths,125,Colombia,2,Female,30,80-84 years,294,All causes,1,Number,2019,14660.256815398283,15016.84980630001,14292.058081825551
1,All Population,1,Deaths,125,Colombia,1,Male,30,80-84 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,2,Female,30,80-84 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,1,Male,30,80-84 years,294,All causes,3,Rate,2019,6497.594912148373,6665.456107685231,6325.530448637624
1,All Population,1,Deaths,125,Colombia,2,Female,30,80-84 years,294,All causes,3,Rate,2019,4700.346380631409,4814.676613399434,4582.295134565663
1,All Population,1,Deaths,125,Colombia,1,Male,31,85-89 years,294,All causes,1,Number,2019,12558.164472699153,12903.624424565665,12202.157829193622
1,All Population,1,Deaths,125,Colombia,2,Female,31,85-89 years,294,All causes,1,Number,2019,14831.616175515786,15238.232527256892,14441.338855232942
1,All Population,1,Deaths,125,Colombia,1,Male,31,85-89 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,2,Female,31,85-89 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,1,Male,31,85-89 years,294,All causes,3,Rate,2019,10316.349155461787,10600.13947294263,10023.894884453368
1,All Population,1,Deaths,125,Colombia,2,Female,31,85-89 years,294,All causes,3,Rate,2019,8240.378873287429,8466.293079451423,8023.5425591107605
1,All Population,1,Deaths,125,Colombia,1,Male,32,90-94 years,294,All causes,1,Number,2019,7749.88139191643,8000.586383920004,7505.360222282652
1,All Population,1,Deaths,125,Colombia,2,Female,32,90-94 years,294,All causes,1,Number,2019,10995.29792796589,11311.161943913645,10678.02625813674
