age,sex,age_sex,population,mx,pyld_rate,deaths_rate_ishd,ylds_rate_ishd,dw_adj_ishd,prevalence_ishd,deaths_rate_copd,ylds_rate_copd,dw_adj_copd,prevalence_copd,deaths_rate_dmt2,ylds_rate_dmt2,dw_adj_dmt2,prevalence_dmt2,case_fatality_copd,case_fatality_dmt2,case_fatality_ishd,incidence_copd,incidence_dmt2,incidence_ishd,remission_copd,remission_dmt2,remission_ishd
97,female,97_female,33998.07605762078,0.1765400490175602,0.38223011258227324,0.05332145682874247,0.0053331351991591025,0.09265916429238408,0.09316815159011198,0.022809943917890832,0.022345256577872806,0.07204982271765654,0.5020254036486548,0.00339334383586071,0.012078394681644705,0.14864949104732508,0.13152825399029508,0.058613863743245655,0.02373571609436555,0.6614775767747509,0.0329705194077372,2.555500238152114e-4,0.043851762778190764,0,0,0
98,female,98_female,0,0.1878101173095992,0.3906442084584298,0.05832560432256522,0.005186992354656704,0.09652316711632394,0.08807067061733603,0.024220812396255217,0.02308982535470416,0.0725021148632206,0.5219359749109087,0.003433862512905369,0.011714701358360476,0.14974084622854417,0.1282148112928761,0.0619230612763301,0.024511467973643654,0.752122100048497,0.03299037625721438,2.4871121210518176e-4,0.04743264579975238,0,0,0
99,female,99_female,0,0.19979965090151808,0.39924352524492973,0.06379938437388467,0.005044854233492769,0.10054830368172837,0.08325208658331372,0.025718947632942524,0.02385920399046464,0.07295724626885808,0.5426362090968075,0.0034748650086459435,0.011361959228251171,0.15084021392378663,0.12498484041368632,0.0652300866230372,0.02534066662040791,0.8543001499299265,0.033055310339933926,0.00024529679632790237,0.05126836511574804,0,0,0
100,female,100_female,0,0.21255457944558845,0.40803214024088325,0.06978687137086247,0.004906611095029142,0.1047412934667711,0.07869714028396718,0.027309747357950276,0.02465421917721983,0.07341523475799974,0.5641574246213165,0.0035163571001844357,0.011019838539230942,0.15194765295934654,0.12183623854151847,0,0,0,0,0,0,0,0,0
0,male,0_male,0,2.4401310074850208e-4,0.03414767807960344,1.411511101448705e-6,2.6766191920134717e-6,0.05969741049935466,4.587570083255227e-5,3.0855876626858835e-7,2.0829616228128055e-5,0.059316932375863336,3.5929750612756527e-4,1.8025595935913742e-7,5.583722740371547e-5,0.04431890757096805,0.001289099428476585,0.024578281368256627,0.08552509550105224,0.09224761632814703,5.210522203110301e-5,2.9831523990379904e-5,6.834891273603937e-5,0,0,0
1,male,1_male,0,2.6880226233819024e-4,0.035283532128345646,1.5822134511086998e-6,3.1928839176829258e-6,0.05916675230994071,5.534015272302298e-5,3.405275140096207e-7,2.2708172584845625e-5,0.05950983837858147,3.913166894789536e-4,1.9997663391921298e-7,6.329841799193104e-5,0.04488298255065739,0.001446259092566465,0.02302824974436624,0.06372321463087562,0.08565220960252395,5.873753197665269e-5,5.3258224000852505e-5,7.684618417525713e-5,0,0,0
2,male,2_male,0,2.9610974171669725e-4,0.03645716808474894,1.7735598411517565e-6,3.8087254781019073e-6,0.05864081121146311,6.675718185943026e-5,3.758084374003319e-7,2.4756149921129755e-5,0.059703371735486545,4.2618929676177834e-4,2.218548238617873e-7,7.175660229889238e-5,0.04545423687208032,0.001622578768266955,0.02222948735530331,0.0547915866260916,0.08189986144752903,6.260423783606642e-5,7.053768205215674e-5,8.155244700657456e-5,0,0,0
3,male,3_male,0,3.2619137345359935e-4,0.03766984268822285,1.988046876950829e-6,4.543350194225008e-6,0.05811954527307575,8.052961747535989e-5,4.14744699946005e-7,2.6988827772361198e-5,0.05989753448681204,4.641696139159132e-4,2.4612656942024787e-7,8.134500255816469e-5,0.04603276191129426,0.0018203943351247876,0.021364042501028423,0.04697512345720173,0.07887553976855666,6.67969405321689e-5,9.326827313850441e-5,8.634520698310854e-5,0,0,0
4,male,4_male,0,3.593289822168178e-4,0.038922854481093686,2.2284730930687325e-6,5.419668890825763e-6,0.057602912936661324,9.714339506396814e-5,4.5771501918160453e-7,2.9422863686266332e-5,0.06009232867942648,5.055345878460134e-4,2.730537345102741e-7,9.221464268368719e-5,0.04661865020735793,0.0020423264498239807,0.020611610795090163,0.040683633164205646,0.0748759531710256,7.076302761334655e-5,1.230323926413336e-4,9.154884982205658e-5,0,0,0
5,male,5_male,0,3.9583302309293317e-4,0.04021754519909483,2.497975467333083e-6,6.465011419000893e-6,0.05709087301351809,1.1718470173339185e-4,5.051373503065657e-7,3.207641750143611e-5,0.06028775636685503,5.505858458777434e-4,3.029268319370385e-7,1.0453672700052805e-4,0.047211995477133596,0.0022913152645933172,0.02016881926545186,0.03476976837654105,0.07196742299442879,7.528799614952429e-5,1.6110527199029778e-4,9.706703890762518e-5,0,0,0
6,male,6_male,0,4.3604549013624504e-4,0.041555301208108825,2.800070350773344e-6,7.711978995352182e-6,0.05658338468107622,1.4136065875916147e-4,5.574729514687357e-7,3.496928683412591e-5,0.06048381960930124,5.996518951800159e-4,3.3606815769061667e-7,1.1850533683102461e-4,0.04781289263027783,0.0025706593782844193,0.019611578731014254,0.030105276125356125,0.06850951723468111,7.976537058474298e-5,2.093714974167452e-4,1.0283306823076686e-4,0,0,0
7,male,7_male,0,4.8034312039579006e-4,0.042937554988699715,3.1386993474562106e-06,9.199460939845391e-6,0.05608040747964301,1.7052427108008706e-4,6.152308702388661e-7,3.8123054784176735e-5,0.060680520473668606,6.530905181911078e-4,3.7283526814501425e-7,1.343404874094024e-4,0.04842143778442283,0.002884059536143549,0.019096702754356046,0.025729392731575776,0.06511374931356467,8.489753537641416e-5,2.689598695271495e-4,1.0903995633053733e-4,0,0,0
8,male,8_male,0,5.291409234377626e-4,0.04436578667002557,3.5182807428396223e-6,1.0973847521465715e-5,0.05558190130917742,2.0570452403547893e-4,6.789728949138084e-7,4.156125096205923e-5,0.06087786103358253,7.112913815157475e-4,4.1362483767573514e-7,1.5229159327338456e-4,0.049037728280551154,0.00323566765721081,0.018598920522358883,0.021820827158461994,0.0618073458019225,9.036386739103664e-5,3.4123718602461687e-4,1.1550350646961311e-4,0,0,0
9,male,9_male,0,5.828960694302514e-4,0.04584152561477338,3.943767151660524e-6,1.3090476736825291e-5,0.05508782642609297,2.481426892526631e-4,7.493190188077697e-7,4.5309527038431624e-5,0.0610758433694121,7.746788773168705e-4,4.588769383151128e-7,1.7264139671509588e-4,0.049661862698566074,0.0036301418388607724,0.018125584867168927,0.018641374100217937,0.058178303088512046,9.620598399997074e-5,4.255274780041767e-4,1.2229611578789233e-4,0,0,0
10,male,10_male,0,6.42112172216443e-4,0.047366352056813686,4.420710137521143e-6,1.561536014257256e-5,0.05459814344008912,2.993361206724049e-4,8.269534706806157e-7,4.939584812594999e-5,0.06127446956829194,8.437152179210547e-4,5.090797876178996e-7,1.9571042116707597e-4,0.05029394087306011,0.004072708067183587,0.017723162033603683,0.015883657476737187,0.05500631351661209,1.0233176883484184e-4,5.211214502380977e-4,1.2956755191412248e-4,0,0,0
11,male,11_male,0,7.073440075029626e-4,0.0489418987933286,4.955332647302411e-6,1.862724156533506e-5,0.054112813311011004,3.610910859758199e-4,9.126313699587963e-7,5.38507014211899e-5,0.0614737417241444,9.189038062030433e-4,5.647750159610732e-7,2.2186201966729676e-4,0.05093406390928432,0.004569229450744451,0.01730124582869307,0.013665037587545975,0.05158869546987044,1.0889072551161684e-4,6.282593191757329e-4,1.372678426911447e-4,0,0,0
