sex_age_cat,case_fatality_copd,case_fatality_dmt2,case_fatality_ishd,incidence_copd,incidence_dmt2,incidence_ishd,remission_copd,remission_dmt2,remission_ishd
female_21,0.018055551893841358,0.004031371088309052,0.031825643475513615,1.964724684748209e-4,0.0014564183609858386,1.9466850167444878e-4,0,0,0
female_22,0.017521109309615458,0.003720452601768007,0.0303178451318733,2.0611372766198035e-4,0.001528718978813166,2.0606649060662388e-4,0,0,0
female_23,0.01704626027239109,0.003462247621375242,0.028909421523406094,2.1634463971168113e-4,0.0015983915982500378,2.180024104038297e-4,0,0,0
female_24,0.016547744682869465,0.003244668305841081,0.02753192742028019,2.267690645515664e-4,0.0016697833119315906,2.3069065816767192e-4,0,0,0
female_25,0.01602068686532935,0.00307538336988271,0.026414527443434244,2.375020966583623e-4,0.0017397353947359888,2.441376582259939e-4,0,0,0
female_26,0.015537503107676723,0.0029404387335695377,0.02544874081151967,2.4917417902487284e-4,0.0018140807882593233,2.5854726586381656e-4,0,0,0
female_27,0.01502647841394907,0.0028326092245168693,0.024615017340518047,2.616873783385889e-4,0.0018948114777681678,2.7368108424548885e-4,0,0,0
female_28,0.014573098954194001,0.002750803512291903,0.024013502245468075,2.7514317258346666e-4,0.001973812288313001,2.903242429006647e-4,0,0,0
female_29,0.01412621235380098,0.002696476301091921,0.023563458449277437,2.903247600868997e-4,0.0020608788475087493,3.0787879782179076e-4,0,0,0
female_30,0.013715827803317116,0.0026616233239849813,0.023254961305963308,3.0744040077768597e-4,0.002154096301201649,3.2639854519831004e-4,0,0,0
female_31,0.013328984694206326,0.0026425579545925762,0.023088149616806393,3.257432571673986e-4,0.0022549993761705437,3.461312159141178e-4,0,0,0
female_32,0.012904725336896435,0.0026443603813199414,0.02303795361611903,3.472642846811798e-4,0.002367493697535386,3.6742568113985687e-4,0,0,0
female_33,0.012514308298878039,0.002658182782627495,0.023204749291065065,3.7119360860626583e-4,0.002481667343974891,3.9035550563588256e-4,0,0,0
female_34,0.012129994686359273,0.0026818083437307816,0.0234340624476244,3.985891782394789e-4,0.0026073839896251193,4.145450966665155e-4,0,0,0
female_35,0.011762027646956141,0.002718566845701157,0.023827018625013976,4.297589275259703e-4,0.002743057197568218,4.4032354188286216e-4,0,0,0
female_36,0.011425429157018968,0.0027646809443609612,0.024362340331007808,4.64167306569754e-4,0.0028799846299333055,4.6811143354205914e-4,0,0,0
female_37,0.011099013065511696,0.002816413601974747,0.025042247735187755,5.056941994656151e-4,0.003022564727411571,4.98018164579108e-4,0,0,0
female_38,0.010785312561285454,0.002871510130783717,0.02584535873748537,5.521266841056748e-4,0.003162855416546626,5.303220195416586e-4,0,0,0
female_39,0.010490120835782065,0.0029248520370229823,0.026670342161829362,6.053783624150558e-4,0.0033067950059262347,5.65060644770784e-4,0,0,0
female_40,0.010200217052149633,0.0029834855573228768,0.0276126493010709,6.644688239461917e-4,0.003445053649584696,6.019730950258184e-4,0,0,0
female_41,0.009905740568990887,0.0030366719827772557,0.028606739438683734,7.340000999443233e-4,0.0035856291688215816,6.426618136286327e-4,0,0,0
female_42,0.009635588032994552,0.0030929197829264034,0.029606946446427633,8.099175353368398e-4,0.0037209008158482115,6.861218868712842e-4,0,0,0
female_43,0.009382942661190184,0.0031376532225066973,0.030511999790938597,8.94724385655352e-4,0.0038456939530431135,7.327944161905666e-4,0,0,0
female_44,0.009130692796640118,0.0031822653105316044,0.03149150394017214,9.91291150221182e-4,0.003978586220876223,7.838332716028273e-4,0,0,0
female_45,0.008879439236902525,0.0032199528975049864,0.03233009668296314,0.0010970848575236306,0.004096885023578605,8.383524873646729e-4,0,0,0
female_46,0.008657574791989532,0.003253923888040705,0.033092529127470856,0.001215150646814837,0.0042054705750682615,8.968858480870223e-4,0,0,0
female_47,0.008432157260157554,0.0032850738841186137,0.03377149816107378,0.0013388835566539802,0.0043171420527239384,9.60763266388028e-4,0,0,0
female_48,0.008217119227375913,0.0033111708623499853,0.0343487897713078,0.0014731416699921048,0.0044296998932425065,0.001029293115907264,0,0,0
female_49,0.008030852198202761,0.003334412436924672,0.0347673474198172,0.00161651711152488,0.004533486693709513,0.001102258978427415,0,0,0
female_50,0.007844592438927031,0.0033567456939029563,0.035055202139763056,0.001770310116432633,0.004640249267830992,0.0011822668295959167,0,0,0
female_51,0.0076721965252514405,0.0033792838711890058,0.035214595469542864,0.0019357079636639638,0.004765131646497995,0.0012699958673750454,0,0,0
female_52,0.007514723636919799,0.003398943146455263,0.03528659986172572,0.0021104291223766006,0.004886615830304383,0.0013643285094090073,0,0,0
female_53,0.007382058741296205,0.003422655186326175,0.03528428511890695,0.0022906328758522205,0.004999699633203315,0.0014665921814243634,0,0,0
female_54,0.007255464534653023,0.0034432037574486816,0.035199543053743856,0.002482430942064383,0.005127260449670544,0.0015773937870320232,0,0,0
female_55,0.007148515636164474,0.0034656598736537156,0.035106392014352616,0.0026811790167425575,0.005267347444282804,0.001697867838180542,0,0,0
female_56,0.0070567320128677394,0.003493049624864013,0.034972948278499394,0.002895059027794079,0.00541040984012418,0.001829001302982153,0,0,0
female_57,0.006980603497984803,0.00352088689742004,0.03491013045426328,0.0031142742599174177,0.005538511421792401,0.001972462306988148,0,0,0
female_58,0.006931998632082054,0.0035455207693466414,0.0348561626588038,0.0033474153146813065,0.005656801268182132,0.002126743791589727,0,0,0
female_59,0.0069056593231204095,0.0035773307002950356,0.034915668563952326,0.003607431028437657,0.005765119940553261,0.0022932537498978668,0,0,0
female_60,0.00689745697445856,0.0036145534738673164,0.035102795759219485,0.0038865366917309324,0.005847752875274344,0.0024735316407634572,0,0,0
female_61,0.006912884139911339,0.0036512436445637632,0.035402425056254475,0.004185617095699568,0.005900927580040932,0.0026691475206394285,0,0,0
female_62,0.00695260045817676,0.0036930925371032337,0.035894446821573125,0.004523384754832518,0.005910720007364204,0.00288049015924419,0,0,0
female_63,0.007010007240995379,0.003733915568862261,0.03657777644809097,0.004885723316163757,0.005877889333034176,0.0031088324103673484,0,0,0
